[1620144003] ./uwsgi.log reopened.
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:06] [ERROR] 110保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:10] [ERROR] 6保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:11] [ERROR] 50保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:18] [ERROR] 134保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:23] [ERROR] 34保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:23] [ERROR] 125保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:29] [ERROR] 138保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:35] [ERROR] 51保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:36] [ERROR] 129保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:40] [ERROR] 55保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:48] [ERROR] 114保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:48] [ERROR] 112保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:00:52] [ERROR] 52保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:00] [ERROR] 109保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:00] [ERROR] 102保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:04] [ERROR] 97保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:10] [ERROR] 126保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:12] [ERROR] 133保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:17] [ERROR] 23保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:22] [ERROR] 20保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:24] [ERROR] 32保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:29] [ERROR] 7保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:34] [ERROR] 21保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:36] [ERROR] 75保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:42] [ERROR] 135保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:45] [ERROR] 76保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:49] [ERROR] 124保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:54] [ERROR] 68保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:01:57] [ERROR] 87保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:02] [ERROR] 24保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:04] [ERROR] 107保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:08] [ERROR] 99保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:13] [ERROR] 105保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:16] [ERROR] 56保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:21] [ERROR] 59保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:26] [ERROR] 28保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:30] [ERROR] 71保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:33] [ERROR] 36保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:39] [ERROR] 128保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:44] [ERROR] 57保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:44] [ERROR] 147保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:50] [ERROR] 79保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:56] [ERROR] 89保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:02:57] [ERROR] 121保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:00] [ERROR] 83保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:06] [ERROR] 141保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:10] [ERROR] 15保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:13] [ERROR] 104保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:16] [ERROR] 108保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:24] [ERROR] 44保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:24] [ERROR] 16保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:27] [ERROR] 117保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:33] [ERROR] 149保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:35] [ERROR] 142保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:40] [ERROR] 40保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:44] [ERROR] 61保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:48] [ERROR] 144保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:51] [ERROR] 77保存出现错误
保存出错：UNIQUE constraint failed: video_videodata.vod_id
[2021-05-05 00:03:55] [ERROR] 58保存出现错误
